entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-10-01,local-authority-eng:ROH,RDCBLR0001,"St George's Church, Cantelupe Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31018,,not owned by a public authority,not permissioned,,,,,0.08,6,6,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0002,"Tower House, Hilders Cliff, Rye",https://www.rother.gov.uk/CHttpHandler.ashx?id=31019,,not owned by a public authority,not permissioned,,,,,0.1,6,6,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0004,"30-34 Dorset Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31021,,not owned by a public authority,not permissioned,,,,,0.11,10,10,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0005,"207 Cooden Drive, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31022,yes,not owned by a public authority,not permissioned,,,,,0.11,5,5,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0006,"Lydd Road Garage, Lydd Road, Camber",https://www.rother.gov.uk/CHttpHandler.ashx?id=31023,yes,not owned by a public authority,permissioned,full planning permission,,,,0.13,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0007,"Ruskin House, Bodiam Business Park, Junction Road, Bodiam",https://www.rother.gov.uk/CHttpHandler.ashx?id=31024,yes,not owned by a public authority,not permissioned,,,,,0.14,11,11,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0008,"Former Countrycraft Site, George Hill, Robertsbridge",https://www.rother.gov.uk/CHttpHandler.ashx?id=31025,yes,not owned by a public authority,permissioned,full planning permission,,,,0.11,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0009,"85 Ashdown Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31026,,not owned by a public authority,not permissioned,,,,,0.05,5,5,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0010,"Chintings, Upper Sea Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31027,,not owned by a public authority,permissioned,full planning permission,,,,0.06,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0011,"2a Sackville Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31028,,not owned by a public authority,permissioned,full planning permission,,,,0.04,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0012,"40-42 Cooden Sea Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31029,,not owned by a public authority,permissioned,full planning permission,,,,0.07,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0013,"17 & 17A Dorset Road South, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31030,yes,not owned by a public authority,permissioned,full planning permission,,,,0.07,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0014,"45-47 Barnhorn Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31031,,not owned by a public authority,permissioned,full planning permission,,,,0.06,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0015,"79-85 London Road-Rear of, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31032,yes,not owned by a public authority,permissioned,full planning permission,,,,0.06,,,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0016,"Land at Moleynes Mead, Fryatts Way, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31033,yes,not owned by a public authority,pending decision,outline planning permission,,,,0.42,13,13,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0017,"Land south of Terminus Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=31034,,mixed ownership,pending decision,outline planning permission,,,,0.15,10,10,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0018,"Land at Michael Tyler Furniture, Woodlands Way, Hastings",https://www.rother.gov.uk/CHttpHandler.ashx?id=31035,,not owned by a public authority,pending decision,outline planning permission,,,,0.99,40,40,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0019,"Land east of Hobbs Lane, Beckley Four Oaks",https://www.rother.gov.uk/CHttpHandler.ashx?id=31036,,not owned by a public authority,not permissioned,,,,,0.28,4,6,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0020,"Land at the Former Putting Green Site, Camber",https://www.rother.gov.uk/CHttpHandler.ashx?id=31037,,owned by a public authority,not permissioned,,,,,0.2,10,10,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
2018-10-01,local-authority-eng:ROH,RDCBLR0023,"Land at the Stonework Cottages, Rye Harbour",https://www.rother.gov.uk/CHttpHandler.ashx?id=31039,,not owned by a public authority,not permissioned,,,,,1.59,40,40,2017-10-01,,81e0062fc9478965fce3ac9b93f5c166d916f9c88afb2bb794d48253e3ae77fe
