entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:CHW,CHC/0032,"BT Building and Newgate House, St John's Street, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828196,,not owned by a public authority,not permissioned,,,53.190106,-2.886673,0.32,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHC/0034,"Loves Garage, Garden Lane, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828197,,not owned by a public authority,not permissioned,,,53.194657,-2.895882,0.14,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHC/0058,Land at corner of Bollands Court / Commonhall Street. Chester,http://consult.cheshirewestandchester.gov.uk/file/4828198,yes,not owned by a public authority,permissioned,full planning permission,,53.189044,-2.892862,0.3,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHC/0117,"34 Cuppin Street, Chester CH1 2BN",http://consult.cheshirewestandchester.gov.uk/file/4828199,yes,not owned by a public authority,permissioned,planning permission granted under an order,,53.188098,-2.893186,0.05,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHC/0120,"14-20 Watergate Street, Chester (within boundary of CHC/0008/H)",http://consult.cheshirewestandchester.gov.uk/file/4828200,yes,mixed ownership,pending decision,,,53.190449,-2.892427,0.1,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHC/0163,Clemence House St Werburgh Street Chester Cheshire CH1 2DY ,http://consult.cheshirewestandchester.gov.uk/file/4828201,yes,not owned by a public authority,permissioned,full planning permission,,53.191453,-2.891625,0.03,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHC/0176,"Car park off Hunter Street, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828202,yes,not owned by a public authority,permissioned,full planning permission,,53.192277,-2.895623,0.08,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHV/0013,"White Lane Depot, White Lane, Christleton",http://consult.cheshirewestandchester.gov.uk/file/4828203,,not owned by a public authority,not permissioned,,,53.184018,-2.844916,0.26,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,CHV/0092,"The Moorings, Rowton Bridge Road, G716Christleton, CH3 7AE",http://consult.cheshirewestandchester.gov.uk/file/4828204,yes,not owned by a public authority,permissioned,full planning permission,,53.180334,-2.834518,0.23,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,DAM/0038(a),"Land at 44 Church Street, Shipbrook Road, Davenham",http://consult.cheshirewestandchester.gov.uk/file/4828205,,not owned by a public authority,not permissioned,,,53.236779,-2.504452,0.27,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,DAM/0054(a),"Land to rear of The Salt Museum, London Road, Northwich",http://consult.cheshirewestandchester.gov.uk/file/4828206,,owned by a public authority,not permissioned,,,53.254356,-2.514132,0.26,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,DAM/0072(a),"Land at 618 London Road, Davenham",http://consult.cheshirewestandchester.gov.uk/file/4828207,,not owned by a public authority,not permissioned,,,53.227878,-2.509335,0.73,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,DOH/0016,"Land at Decoy Farm, Lache Lane, Marlston cum Lache, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828208,yes,not owned by a public authority,permissioned,outline planning permission,,53.159165,-2.927926,1.13,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
