entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-03-10,local-authority-eng:SWL,BF/023,"Swan Quay, Belvedere Road, Faversham",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF023Swan-QuayBelvedere-Road.docx,51.318282,0.891776,0.3,10,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/136,"The Foundry, Rushenden Road, Queenborough",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF136The-Foundary-Queenborough.docx,51.414737,0.747297,0.37,37,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/167,"Former Nicholls Transport site, Lydbrook Close, Sittingbourne",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF167Lydbrook-CloseSittingbourne.docx,51.341017,0.719076,1.7,49,49,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/237,"152 Staplehurst Road, Sittingbourne",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF237152-Staplehurst-RoadSittingbourne.docx,51.345221,0.718908,1.8,75,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/256,"West Street, Queenborough",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF256West-StreetQueenborough.docx,51.415863,0.741481,1.45,80,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/258,"Land West of Rushenden Road, Queenborough",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF258West-of-Rushenden-Road.docx,51.415394,0.745006,13.31,379,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/259,Crown Quay Lane,https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF260Crown-Quay-Lane.docx,51.344214,0.739715,7.6,267,,2018-03-10,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/265,"Bell Centre, Bell Road, Sittingbourne",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF265Bell-CentreSittingbourne.docx,51.338596,0.739581,0.9,120,165,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/275,"Provender Mill, New Creek Road, Faversham",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF275Provender-Mill-New-Creek-Road.docx,51.320942,0.897152,0.95,10,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/281,"Land South of Queenborough Creek, Queenborough",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF281South-of-Queenborough-Creek.docx,51.415394,0.745006,7,380,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/283,"Former McDonald's Mailing Centre, Staplehurst Road, Sittingbourne",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF283Staplehurst-RoadSittingbourne.docx,51.346241,0.719902,1.5,60,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/373,"Former Istil Mill Site, Rushenden Road, Queenborough",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF373Former-Istil-siteRushenden-RoadThomsett-Way.docx,51.412464,0.747966,4,240,,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/511,"Moons of Selling, Grove Road, Selling",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF511Moons-of-SellingGrove-Road.docx,51.263582,0.92045,1,5,5,2018-03-20,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
2018-03-10,local-authority-eng:SWL,BF/588,"Floplast Ltd, Sheppey Way, Bobbing",https://archive.swale.gov.uk/assets/Planning-General/Planning-Policy/Brownfield-Land-Register/BF588Floplast-LtdSheppey-Way.docx,51.362541,0.725954,1.54,42,42,2018-03-10,,80cde042e8bf5ac5fe1f9e3436825526dedceda6b3da62942f433fd40145e6ab
