field,value,count
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/camden,3975
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/southwark,1826
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/birmingham,1362
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,1078
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/brighton-and-hove,1056
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/manchester,1019
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/haringey,932
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/bradford,859
OrganisationURI,http://opendatacommunities.org/id/district-council/sevenoaks,828
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/croydon,759
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/leeds,708
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/wandsworth,691
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/barnet,691
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/brent,658
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/bristol,651
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/sheffield,631
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/nottingham,594
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/northumberland,594
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/islington,570
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/redbridge,558
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,538
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/lewisham,497
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/greenwich,487
OrganisationURI,www.liverpool.gov.uk,465
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/stoke-on-trent,451
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/sandwell,437
OrganisationURI,http://opendatacommunities.org/id/geography/administration/lonb/E09000032,429
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,426
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/walsall,420
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/kirklees,419
OrganisationURI,http://opendatacommunities.org/doc/unitary-authority/reading,414
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/harrow,408
OrganisationURI,http://opendatacommunities.org/doc/london-borough-council/westminster,404
OrganisationURI,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,402
OrganisationURI,"",378
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/newham,365
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/richmond,360
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/kensington-and-chelsea,355
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,351
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/luton,350
OrganisationURI,http://opendatacommunities.org/doc/unitary-authority/plymouth,349
OrganisationURI,http://opendatacommunities.org/id/district-council/woking,348
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/leicester,330
OrganisationURI,http://opendatacommunities.org/doc/london-borough-council/kingston,320
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/st-helens,304
OrganisationURI,http://opendatacommunities.org/id/metropolitan-district-council/wakefield,299
OrganisationURI,http://opendatacommunities.org/id/district-council/norwich,296
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/york,292
OrganisationURI,http://opendatacommunities.org/id/district-council/stratford,292
OrganisationURI,http://opendatacommunities.org/id/district-council/charnwood,290
OrganisationURI,http://opendatacommunities.org/id/geography/administration/ua/E06000058,288
OrganisationURI,http://opendatacommunities.org/id/district-council/lewes,271
OrganisationURI,http://opendatacommunities.org/doc/metropolitan-district-council/coventry,270
OrganisationURI,http://opendatacommunities.org/id/unitary-authority/swindon,267
OrganisationURI,http://opendatacommunities.org/id/district-council/teignbridge,263
OrganisationURI,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,255
OrganisationURI,Wigan Council,255
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/hillingdon,252
OrganisationURI,http://opendatacommunities.org/id/london-borough-council/bromley,249
