resource,row-number,field,datatype,value
017e3b44963d14c281e04af55afc6715f18d77f628e6e3a41e9861915b79283c,9,NetDwellingsRangeTo,integer,700 (200 net)
017e3b44963d14c281e04af55afc6715f18d77f628e6e3a41e9861915b79283c,16,NetDwellingsRangeTo,integer,>1
017e3b44963d14c281e04af55afc6715f18d77f628e6e3a41e9861915b79283c,23,NetDwellingsRangeTo,integer,>1
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,1,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,2,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,3,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,4,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,5,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,6,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,7,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,8,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,9,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,10,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,11,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,12,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,13,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,14,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,15,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,16,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,17,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,18,"GeoX,GeoY",OSGB,","
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,19,"GeoX,GeoY",OSGB,","
02f2cce9ee3f63f69e74262e5350d553f05805d49645b7c9823d778e86012090,16,"GeoX,GeoY",OSGB,","
03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4,28,Hectares,decimal,1 hectare
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,1,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,2,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,3,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,4,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,5,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,6,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,7,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,8,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,9,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,10,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,11,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,12,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,13,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,14,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,15,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,16,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,17,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,18,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,19,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,20,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,21,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,22,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,23,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,24,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,25,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,26,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,27,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,28,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,29,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,30,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,31,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,32,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,33,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,34,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,35,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,36,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,37,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,38,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,39,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,40,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,41,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,42,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,43,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,44,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,45,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,46,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,47,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,48,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,49,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,50,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,51,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,52,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,53,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,54,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,55,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,56,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,57,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,58,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,59,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,60,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,61,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,62,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,63,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,64,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,65,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,66,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,67,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,68,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,69,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,70,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,71,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,72,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,73,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,74,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,75,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,76,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,77,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,78,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,79,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,80,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,81,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,82,"GeoX,GeoY",OSGB,","
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,83,"GeoX,GeoY",OSGB,","
0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f,2,LastUpdatedDate,date,2018-21-21
09a3e48a3346b574437259343471e3ff27c5aebfaed96abe01a4ba1141926c10,8,PermissionDate,date,Awaiting s 106
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,1,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,2,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,3,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,4,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,5,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,6,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,7,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,8,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,9,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,10,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,11,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,12,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,13,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,14,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,15,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,16,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,17,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,18,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,19,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,20,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,28,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,29,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,30,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,31,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,32,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,33,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,34,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,35,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,36,"GeoX,GeoY",OSGB,","
0a2acb3630049c97f654ba03d73bd03261a00ec702ff5e8403433afef412e84f,37,"GeoX,GeoY",OSGB,","
0edf56e3a97bc3b2118b3d811737d21c369efaf48952ad7e2038f05074854670,100,"GeoX,GeoY",OSGB,","
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,1,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,2,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,3,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,4,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,5,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,7,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,9,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,10,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,11,NetDwellingsRangeTo,integer,To be determined by planning application
11ec0f3fd874e03ecb19e1a26c717500409b28d66802a51bbb13fe6a01fd1c31,12,NetDwellingsRangeTo,integer,To be determined by planning application
153dbe1b4a37a3ca5851f37b75bcda0bcaad32015e96747b8861170f809b3a05,37,PermissionDate,date,Decision pending
153dbe1b4a37a3ca5851f37b75bcda0bcaad32015e96747b8861170f809b3a05,38,PermissionDate,date,Decision pending
153dbe1b4a37a3ca5851f37b75bcda0bcaad32015e96747b8861170f809b3a05,55,PermissionDate,date,Decision pending
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,1,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,2,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,3,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,4,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,5,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,6,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,7,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,8,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,9,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,10,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,11,"GeoX,GeoY",OSGB,","
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,12,"GeoX,GeoY",OSGB,","
