row-number,field,datatype,value
95,"GeoX,GeoY",OSGB,"3982435.1946,-67367.1119"
96,"GeoX,GeoY",OSGB,"3982462.2799,-67237.951"
97,"GeoX,GeoY",OSGB,"3982549.1211,-67210.9612"
98,"GeoX,GeoY",OSGB,"3982616.4164,-67323.4035"
99,"GeoX,GeoY",OSGB,"3983268.1021,-67526.3212"
100,"GeoX,GeoY",OSGB,"3982948.6789,-66914.6728"
101,"GeoX,GeoY",OSGB,"3983121.2297,-66900.6876"
102,"GeoX,GeoY",OSGB,"3983916.9292,-67829.2127"
103,"GeoX,GeoY",OSGB,"3983971.654,-67550.8972"
104,"GeoX,GeoY",OSGB,"3984803.4824,-68580.7362"
105,"GeoX,GeoY",OSGB,"3985181.7697,-67643.1414"
106,"GeoX,GeoY",OSGB,"3983541.9931,-67245.6549"
107,"GeoX,GeoY",OSGB,"3982843.6311,-68712.5076"
108,"GeoX,GeoY",OSGB,"3982264.4891,-68712.3111"
109,"GeoX,GeoY",OSGB,"3982799.0001,-70022.1062"
110,"GeoX,GeoY",OSGB,"3983110.9158,-70893.759"
111,"GeoX,GeoY",OSGB,"3982220.8402,-71373.1454"
112,"GeoX,GeoY",OSGB,"3982437.268,-69248.8087"
113,"GeoX,GeoY",OSGB,"3982536.0493,-69632.5923"
114,"GeoX,GeoY",OSGB,"3982598.3706,-69364.5282"
115,"GeoX,GeoY",OSGB,"3982633.2472,-69515.8781"
116,"GeoX,GeoY",OSGB,"3982780.6731,-69561.0585"
117,"GeoX,GeoY",OSGB,"3981770.8929,-70676.8392"
118,"GeoX,GeoY",OSGB,"3981977.8713,-70553.9466"
119,"GeoX,GeoY",OSGB,"3982234.0124,-70352.6986"
120,"GeoX,GeoY",OSGB,"3980407.4727,-71830.2908"
121,"GeoX,GeoY",OSGB,"3980385.1424,-71789.4758"
122,"GeoX,GeoY",OSGB,"3980530.1741,-71644.4092"
123,"GeoX,GeoY",OSGB,"3981044.5732,-71171.9426"
124,"GeoX,GeoY",OSGB,"3981391.1802,-70263.2325"
125,"GeoX,GeoY",OSGB,"3981447.8939,-70195.1503"
126,"GeoX,GeoY",OSGB,"3981504.8886,-70117.0688"
127,"GeoX,GeoY",OSGB,"3981741.7397,-70045.2633"
128,"GeoX,GeoY",OSGB,"3981745.5136,-69354.7843"
129,"GeoX,GeoY",OSGB,"3981562.8928,-69168.2526"
130,"GeoX,GeoY",OSGB,"3981062.8055,-67739.5721"
131,"GeoX,GeoY",OSGB,"3980977.8956,-67696.5749"
132,"GeoX,GeoY",OSGB,"3980867.5631,-67722.7495"
133,"GeoX,GeoY",OSGB,"3981708.6121,-69553.6735"
134,"GeoX,GeoY",OSGB,"3981893.2906,-69109.7202"
135,"GeoX,GeoY",OSGB,"3981976.2584,-68942.4654"
136,"GeoX,GeoY",OSGB,"3981115.6034,-66970.7659"
137,"GeoX,GeoY",OSGB,"3980094.0063,-65984.3088"
138,"GeoX,GeoY",OSGB,"3979789.0038,-66534.132"
