row-number,field,datatype,value
18,PermissionDate,date,<Null>
19,PermissionDate,date,<Null>
21,PermissionDate,date,<Null>
22,PermissionDate,date,<Null>
23,PermissionDate,date,<Null>
24,PermissionDate,date,<Null>
25,PermissionDate,date,<Null>
27,PermissionDate,date,<Null>
28,PermissionDate,date,<Null>
29,PermissionDate,date,<Null>
30,PermissionDate,date,<Null>
31,PermissionDate,date,<Null>
