row-number,field,datatype,value
1,"GeoX,GeoY",OSGB,"3972968.293,-9342.9698"
2,"GeoX,GeoY",OSGB,"3972833.756,-9436.3309"
3,"GeoX,GeoY",OSGB,"3976420.037,-6609.8623"
4,"GeoX,GeoY",OSGB,"3976748.375,-6319.157"
5,"GeoX,GeoY",OSGB,"3976658.527,-6522.1375"
6,"GeoX,GeoY",OSGB,"3976657.954,-6619.1737"
7,"GeoX,GeoY",OSGB,"3976534.92,-7650.4731"
8,"GeoX,GeoY",OSGB,"3973308.54,-8035.0821"
9,"GeoX,GeoY",OSGB,"3973725.341,-8392.8265"
10,"GeoX,GeoY",OSGB,"3974021.813,-8522.251"
11,"GeoX,GeoY",OSGB,"3973747.53,-7711.206"
12,"GeoX,GeoY",OSGB,"3974627.118,-5313.5338"
13,"GeoX,GeoY",OSGB,"3975194.262,-8581.2138"
14,"GeoX,GeoY",OSGB,"3975323.664,-7125.8838"
15,"GeoX,GeoY",OSGB,"3975968.651,-7221.4566"
16,"GeoX,GeoY",OSGB,"3975267.825,-7170.9606"
17,"GeoX,GeoY",OSGB,"3973016.912,-7473.5964"
18,"GeoX,GeoY",OSGB,"3975586.992,-6624.787"
19,"GeoX,GeoY",OSGB,"3976571.751,-6229.9393"
20,"GeoX,GeoY",OSGB,"3976675.612,-6457.6968"
21,"GeoX,GeoY",OSGB,"3974653.996,-6974.4147"
22,"GeoX,GeoY",OSGB,"3974558.165,-7056.1165"
23,"GeoX,GeoY",OSGB,"3976217.356,-6671.8223"
24,"GeoX,GeoY",OSGB,"3973333.913,-7915.8992"
25,"GeoX,GeoY",OSGB,"3976447.593,-7844.537"
26,"GeoX,GeoY",OSGB,"3974094.66,-8734.9185"
27,"GeoX,GeoY",OSGB,"3972999.366,-7558.0321"
28,"GeoX,GeoY",OSGB,"3973506.322,-8480.236"
29,"GeoX,GeoY",OSGB,"3975404.45,-6731.4757"
30,"GeoX,GeoY",OSGB,"3972555.858,-8153.8976"
31,"GeoX,GeoY",OSGB,"3974963.957,-8155.9258"
32,"GeoX,GeoY",OSGB,"3976518.831,-6392.1854"
33,"GeoX,GeoY",OSGB,"3975907.459,-7862.6922"
34,"GeoX,GeoY",OSGB,"3973467.881,-6820.9534"
35,"GeoX,GeoY",OSGB,"3976802.477,-7275.5968"
36,"GeoX,GeoY",OSGB,"3975960.084,-6686.8491"
37,"GeoX,GeoY",OSGB,"3975876.477,-7634.4783"
38,"GeoX,GeoY",OSGB,"3974737.321,-5860.6857"
39,"GeoX,GeoY",OSGB,"3973211.557,-8731.0976"
40,"GeoX,GeoY",OSGB,"3976040.374,-7059.8673"
41,"GeoX,GeoY",OSGB,"3975908.58,-7776.6815"
42,"GeoX,GeoY",OSGB,"3976287.525,-6935.4239"
43,"GeoX,GeoY",OSGB,"3975009.364,-6386.4824"
44,"GeoX,GeoY",OSGB,"3976471.438,-6374.5206"
45,"GeoX,GeoY",OSGB,"3975480.06,-7245.4133"
46,"GeoX,GeoY",OSGB,"3976047.876,-7429.3427"
47,"GeoX,GeoY",OSGB,"3972244.472,-8234.082"
48,"GeoX,GeoY",OSGB,"3975270.767,-8487.8299"
49,"GeoX,GeoY",OSGB,"3972386.485,-9248.6169"
50,"GeoX,GeoY",OSGB,"3976351.561,-7830.1763"
51,"GeoX,GeoY",OSGB,"3974713.187,-8193.1932"
52,"GeoX,GeoY",OSGB,"3974001.494,-8484.5197"
53,"GeoX,GeoY",OSGB,"3974336.772,-8489.2262"
54,"GeoX,GeoY",OSGB,"3973878.433,-9400.7628"
55,"GeoX,GeoY",OSGB,"3974115.641,-8707.6349"
56,"GeoX,GeoY",OSGB,"3974408.164,-6610.6246"
57,"GeoX,GeoY",OSGB,"3975053.451,-8148.0454"
58,"GeoX,GeoY",OSGB,"3974891.341,-8109.3636"
59,"GeoX,GeoY",OSGB,"3974183.014,-8814.0492"
60,"GeoX,GeoY",OSGB,"3976539.477,-6343.8783"
61,"GeoX,GeoY",OSGB,"3976091.346,-7234.7477"
62,"GeoX,GeoY",OSGB,"3972978.332,-9244.2619"
63,"GeoX,GeoY",OSGB,"3976431.556,-6975.4751"
64,"GeoX,GeoY",OSGB,"3975840.241,-7431.0952"
65,"GeoX,GeoY",OSGB,"3975077.802,-8357.0174"
66,"GeoX,GeoY",OSGB,"3975048.829,-7649.5943"
67,"GeoX,GeoY",OSGB,"3972992.104,-9399.8341"
68,"GeoX,GeoY",OSGB,"3974020.282,-8626.2584"
69,"GeoX,GeoY",OSGB,"3972668.16,-7755.5918"
70,"GeoX,GeoY",OSGB,"3972975.684,-9152.1153"
71,"GeoX,GeoY",OSGB,"3974754.213,-8074.5562"
72,"GeoX,GeoY",OSGB,"3975864.087,-7734.1037"
73,"GeoX,GeoY",OSGB,"3972434.79,-8734.003"
74,"GeoX,GeoY",OSGB,"3973782.124,-6359.6517"
75,"GeoX,GeoY",OSGB,"3976468.476,-6757.6389"
76,"GeoX,GeoY",OSGB,"3974177.823,-7601.1611"
77,"GeoX,GeoY",OSGB,"3973136.187,-7890.9899"
78,"GeoX,GeoY",OSGB,"3974120.867,-6704.6587"
79,"GeoX,GeoY",OSGB,"3974697.969,-7040.9888"
80,"GeoX,GeoY",OSGB,"3973681.977,-7698.9118"
81,"GeoX,GeoY",OSGB,"3974260.164,-5931.0806"
82,"GeoX,GeoY",OSGB,"3973296.701,-8814.1169"
83,"GeoX,GeoY",OSGB,"3972995.236,-9399.9435"
