row-number,field,datatype,value
1,"GeoX,GeoY",OSGB,"3914511.685,-171229.281"
2,"GeoX,GeoY",OSGB,"3910676.527,-189263.662"
3,"GeoX,GeoY",OSGB,"3938459.077,-177831.165"
4,"GeoX,GeoY",OSGB,"3938544.194,-177790.095"
5,"GeoX,GeoY",OSGB,"3926266.352,-186719.226"
6,"GeoX,GeoY",OSGB,"3926003.707,-186414.779"
7,"GeoX,GeoY",OSGB,"3923922.367,-191167.559"
8,"GeoX,GeoY",OSGB,"3925429.618,-186099.447"
9,"GeoX,GeoY",OSGB,"3925555.141,-186059.792"
10,"GeoX,GeoY",OSGB,"3938664.083,-176402.938"
11,"GeoX,GeoY",OSGB,"3924236.876,-190432.85"
12,"GeoX,GeoY",OSGB,"3927151.541,-192208.197"
13,"GeoX,GeoY",OSGB,"3925817.719,-185708.625"
14,"GeoX,GeoY",OSGB,"3925717.282,-185013.46"
15,"GeoX,GeoY",OSGB,"3925756.753,-185932.709"
16,"GeoX,GeoY",OSGB,"3923739.445,-187500.767"
17,"GeoX,GeoY",OSGB,"3919362.427,-184975.66"
18,"GeoX,GeoY",OSGB,"3921040.191,-186846.962"
19,"GeoX,GeoY",OSGB,"3938448.633,-177470.455"
20,"GeoX,GeoY",OSGB,"3938594.105,-176704.787"
21,"GeoX,GeoY",OSGB,"3943435.153,-182928.638"
22,"GeoX,GeoY",OSGB,"3942624.415,-179152.75"
23,"GeoX,GeoY",OSGB,"3918300.948,-190757.012"
24,"GeoX,GeoY",OSGB,"3925464.212,-185923.488"
25,"GeoX,GeoY",OSGB,"3925461.961,-185960.444"
26,"GeoX,GeoY",OSGB,"3935019.968,-197847.926"
27,"GeoX,GeoY",OSGB,"3911541.694,-206626.395"
28,"GeoX,GeoY",OSGB,"3940534.053,-171055.036"
29,"GeoX,GeoY",OSGB,"3923526.33,-190625.237"
